ACTION,GOTO
ClosureId,!,!=,&&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,UFLOAT,UINT,^,do,double,id,if,int,printf,scanf,then,while,{,||,},#,ANDITEM,ASSIGN,B,BANDTERM,BFACTOR,BORTERM,EXPR,FACTOR,ID,ITEM,L,M,MUL_DIV,N,NOITEM,ORITEM,PLUS_MINUS,PRINTF,PRINTF_BEGIN,PROG,REL,RELITEM,SCANF,SCANF_BEGIN,STATEMENT,SUBPROG,T,VARIABLE,VARIABLES
170,,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,,,,,,,,174,175,176,,,,,223,,179,,,,,180,,,,,,,
171,s121,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,123,,,,,,224,125,126,127,,,,,128,129,130,,,,,131,,,,,,,
172,,,r24,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,s225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,r31,r31,,,r31,r31,,r31,r31,r31,r31,r31,,r31,r31,r31,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,r33,r33,,,r33,r33,,r33,r33,r33,r33,r33,,r33,r33,r33,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,r30,r30,,,s136,r30,,r30,s137,r30,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,r30,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,
177,,s139,r25,,,,,,,,r25,s140,s141,,s142,s143,s144,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,
178,,,s228,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,,,,,,,,229,175,,,,,,,,179,,,,,,,,,,,,
180,,r28,r28,,,,s63,,s64,,r28,r28,r28,,r28,r28,r28,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,
181,,r35,r35,,,r35,r35,,r35,r35,r35,r35,r35,,r35,r35,r35,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,r34,r34,,,r34,r34,,r34,r34,r34,r34,r34,,r34,r34,r34,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,r8,r8,,,r8,r8,,r8,r8,r8,r8,r8,,r8,r8,r8,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,s57,,,s22,s58,,s24,s25,,s59,s60,,,,,49,,,,,,,50,,,,,,,,,52,53,,,,54,55,231,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,s156,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,s233,,,,,,,,,,s167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,s156,,,,,,,,,,,,s234,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,
189,,s139,r26,,r26,,,,,,,s140,s141,,s142,s143,s144,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,
190,,,,,s235,,,,,,,,,,,,,,,,,,,,,,,,,,s192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,r36,r36,,,r36,r36,,r36,r36,,r36,r36,,r36,r36,r36,,,,,,,,,,,,,,r36,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,s121,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,123,,,,,,,125,126,127,,,,,128,236,130,,,,,131,,,,,,,
193,,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,,,,,,,,237,126,,,,,,,,130,,,,,,,,,,,,
194,,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,,,,,,,,125,126,127,,,,,,,130,,,,,238,,,,,,,
195,s121,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,239,,,,,,,125,126,127,,,,,128,,130,,,,,131,,,,,,,
196,,r37,r37,,r37,r37,r37,,r37,r37,,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,,,,,,,,125,126,240,,,,,,,130,,,,,,,,,,,,
198,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,,,,r21,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,r32,r32,,,r32,r32,,r32,r32,,r32,r32,,r32,r32,r32,,,,,,,,,,,,,,r32,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,r27,r27,,,,s63,,s64,,,r27,r27,,r27,r27,r27,,,,,,,,,,,,,,r27,,r27,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,
201,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,r23,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,r29,r29,,,s136,r29,,r29,s137,,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,r29,,r29,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,
203,,,r42,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,s81,,,s82,,,,,,,,,,,,,,s88,s89,,,,s90,,,,,,,,,,,,,,84,85,241,,,87,,,,,,,,,,,,,,,,,,,,
205,,,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,r48,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,r47,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,r46,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,r8,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,s81,,,s82,,,,,,,,,,,,,,s88,s89,,,,s90,,,,,,,,,,,,,,242,85,,,,87,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,r38,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,r40,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,r42,,,,,,,,,,,,,,,,,,r42,,,,,,,,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,s21,,,s22,s23,,s24,s25,,s26,s27,,,,,13,,,,,,,14,,,,,,,,,15,16,,,,17,18,243,,,,
216,s103,,,s104,,,,,,,,,,,,,,s110,s111,,,,s112,,,,,,,,,,,,,,106,107,244,,,109,,,,,,,,,,,,,,,,,,,,
217,,,r44,,,,,,,,,,,,,,,,,,r44,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,r48,,,,,,,,,,,,,,,,,,r48,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,r47,,,,,,,,,,,,,,,,,,r47,,,,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,r46,,,,,,,,,,,,,,,,,,r46,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,r8,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,s103,,,s104,,,,,,,,,,,,,,s110,s111,,,,s112,,,,,,,,,,,,,,245,107,,,,109,,,,,,,,,,,,,,,,,,,,
223,,s139,r26,,,,,,,,r26,s140,s141,,s142,s143,s144,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,
224,,,,,s246,,,,,,,,,,,,,,,,,,,,,,,,,,s192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,s170,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,172,,,,,,,174,175,176,,,,,177,247,179,,,,,180,,,,,,,
226,,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,,,,,,,,248,175,,,,,,,,179,,,,,,,,,,,,
227,,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,,,,,,,,174,175,176,,,,,,,179,,,,,249,,,,,,,
228,s170,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,250,,,,,,,174,175,176,,,,,177,,179,,,,,180,,,,,,,
229,,r37,r37,,,r37,r37,,r37,r37,r37,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,,,,,,,,174,175,251,,,,,,,179,,,,,,,,,,,,
231,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,s57,,,s22,s58,,s24,s25,,s59,s60,,,,,49,,,,,,,50,,,,,,,,,52,53,,,,54,55,252,,,,
233,,,,,,,,,,,,,,,,,,,,s156,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,
234,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,r36,r36,,r36,r36,r36,,r36,r36,,r36,r36,,r36,r36,r36,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,s195,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,r32,r32,,r32,r32,r32,,r32,r32,,r32,r32,,r32,r32,r32,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,r27,r27,,r27,,s63,,s64,,,r27,r27,,r27,r27,r27,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,
239,,,r23,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,r29,r29,,r29,s136,r29,,r29,s137,,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,
241,,,s154,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,r40,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,s169,,,,,,,,,,,,,,,,,,r38,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,r40,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,r36,r36,,,r36,r36,,r36,r36,r36,r36,r36,,r36,r36,r36,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,s228,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,r32,r32,,,r32,r32,,r32,r32,r32,r32,r32,,r32,r32,r32,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,r27,r27,,,,s63,,s64,,r27,r27,r27,,r27,r27,r27,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,
250,,,r23,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,r29,r29,,,s136,r29,,r29,s137,r29,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,
252,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,s57,,,s22,s58,,s24,s25,,s59,s60,,,,,49,,,,,,,50,,,,,,,,,52,53,,,,54,55,254,,,,
254,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
